id,first_name,last_name,customer_name,email,amount,currency,status
CUST-000027,Ernaline,Benton,Ernaline Benton,ernalinebenton@gmail.com,629230,INR,pending
CUST-000028,Jan,Ami,Jan Ami,janami@gmail.com,321410,INR,recovered
CUST-000029,Esmeralda,Adallard,Esmeralda Adallard,esmeraldaadallard@gmail.com,432890,INR,pending
CUST-000030,Elora,Blakeley,Elora Blakeley,elorablakeley@gmail.com,252690,INR,recovered
CUST-000031,Dyna,Atworth,Dyna Atworth,dynaatworth@gmail.com,211140,INR,in_progress
CUST-000032,Aprilette,Andriette,Aprilette Andriette,apriletteandriette@gmail.com,462860,INR,overdue
CUST-000033,Augustine,Aurora,Augustine Aurora,augustineaurora@gmail.com,143440,INR,overdue
CUST-000034,Dominga,Alarick,Dominga Alarick,domingaalarick@gmail.com,650560,INR,recovered
CUST-000035,Dreddy,Abby,Dreddy Abby,dreddyabby@gmail.com,722440,INR,active
CUST-000036,Evangeline,Aulea,Evangeline Aulea,evangelineaulea@gmail.com,812230,INR,in_progress
CUST-000037,Deedee,Bentley,Deedee Bentley,deedeebentley@gmail.com,538570,INR,recovered
CUST-000038,Isahella,Adriene,Isahella Adriene,isahellaadriene@gmail.com,344710,INR,pending
CUST-000039,Dalila,Bendick,Dalila Bendick,dalilabendick@gmail.com,47980,INR,in_progress
CUST-000040,Avis,Anneliese,Avis Anneliese,avisanneliese@gmail.com,737980,INR,recovered
CUST-000041,Heddi,Dutta,Heddi Dutta,heddidutta@gmail.com,677840,INR,active
CUST-000042,Claretta,Andras,Claretta Andras,clarettaandras@gmail.com,729660,INR,overdue
CUST-000043,Ailyn,Alysoun,Ailyn Alysoun,ailynalysoun@gmail.com,316430,INR,recovered
CUST-000044,Evie,Addis,Evie Addis,evieaddis@gmail.com,777570,INR,recovered
CUST-000045,Antoinette,Anatole,Antoinette Anatole,antoinetteanatole@gmail.com,436030,INR,in_progress
CUST-000046,Erena,Bithia,Erena Bithia,erenabithia@gmail.com,249540,INR,recovered
CUST-000047,Devan,Iyengar,Devan Iyengar,devaniyengar@gmail.com,776580,INR,overdue
CUST-000048,Babita,Benzel,Babita Benzel,babitabenzel@gmail.com,292000,INR,active
CUST-000049,Allx,Barbra,Allx Barbra,allxbarbra@gmail.com,133390,INR,pending
CUST-000050,Charyl,Alisun,Charyl Alisun,charylalisun@gmail.com,616540,INR,overdue
CUST-000051,Helen,Blakelee,Helen Blakelee,helenblakelee@gmail.com,493320,INR,pending
CUST-000052,Carmen,Adel,Carmen Adel,carmenadel@gmail.com,334900,INR,pending
CUST-000053,Carley,Anastassia,Carley Anastassia,carleyanastassia@gmail.com,397250,INR,pending
CUST-000054,Atlanta,Bebe,Atlanta Bebe,atlantabebe@gmail.com,444190,INR,overdue
CUST-000055,Fredericka,Alyosha,Fredericka Alyosha,frederickaalyosha@gmail.com,488990,INR,pending
CUST-000056,Bertha,Appleton,Bertha Appleton,berthaappleton@gmail.com,980220,INR,active
CUST-000057,Daveta,Biancha,Daveta Biancha,davetabiancha@gmail.com,751760,INR,pending
CUST-000058,Dina,Amund,Dina Amund,dinaamund@gmail.com,900460,INR,in_progress
CUST-000059,Celeste,Batista,Celeste Batista,celestebatista@gmail.com,670910,INR,in_progress
CUST-000060,Deana,Abbottson,Deana Abbottson,deanaabbottson@gmail.com,831220,INR,in_progress
CUST-000061,Carmen,Aksoyn,Carmen Aksoyn,carmenaksoyn@gmail.com,317340,INR,recovered
CUST-000062,Gabriell,Bivins,Gabriell Bivins,gabriellbivins@gmail.com,566040,INR,in_progress
CUST-000063,Chelsy,Sen,Chelsy Sen,chelsysen@gmail.com,840020,INR,pending
CUST-000064,Isabella,Bevin,Isabella Bevin,isabellabevin@gmail.com,93390,INR,overdue
CUST-000065,Enrika,Adnopoz,Enrika Adnopoz,enrikaadnopoz@gmail.com,257820,INR,in_progress
CUST-000066,Hedi,Bamford,Hedi Bamford,hedibamford@gmail.com,821850,INR,active
CUST-000067,Briana,Berke,Briana Berke,brianaberke@gmail.com,995580,INR,overdue
CUST-000068,Clementia,Andrel,Clementia Andrel,clementiaandrel@gmail.com,492180,INR,active
CUST-000069,Darby,Berk,Darby Berk,darbyberk@gmail.com,502000,INR,overdue
CUST-000070,Aila,Bergeman,Aila Bergeman,ailabergeman@gmail.com,296090,INR,overdue
CUST-000071,Crissy,Aurel,Crissy Aurel,crissyaurel@gmail.com,694020,INR,recovered
CUST-000072,Codee,Adlee,Codee Adlee,codeeadlee@gmail.com,681220,INR,active
CUST-000073,Brunhilda,Babette,Brunhilda Babette,brunhildababette@gmail.com,535760,INR,overdue
CUST-000074,Charlotta,Aksoyn,Charlotta Aksoyn,charlottaaksoyn@gmail.com,824580,INR,pending
CUST-000075,Bernie,Ankney,Bernie Ankney,bernieankney@gmail.com,582630,INR,in_progress
CUST-000076,Sumit,Adali,Sumit Adali,sumitadali@gmail.com,374190,INR,recovered
CUST-000077,Jehanna,Austina,Jehanna Austina,jehannaaustina@gmail.com,371280,INR,active
CUST-000078,Felice,Akel,Felice Akel,feliceakel@gmail.com,912620,INR,pending
CUST-000079,Eden,Becker,Eden Becker,edenbecker@gmail.com,268020,INR,in_progress
CUST-000080,Elspeth,Amanda,Elspeth Amanda,elspethamanda@gmail.com,387170,INR,recovered
CUST-000081,Flora,Aday,Flora Aday,floraaday@gmail.com,682060,INR,active
CUST-000082,Elisha,Ambrose,Elisha Ambrose,elishaambrose@gmail.com,669680,INR,pending
CUST-000083,Avril,Ahern,Avril Ahern,avrilahern@gmail.com,232700,INR,active
CUST-000084,Eloise,Bartolome,Eloise Bartolome,eloisebartolome@gmail.com,882960,INR,recovered
CUST-000085,Blair,Annelise,Blair Annelise,blairannelise@gmail.com,802600,INR,active
CUST-000086,Cissy,Ashlie,Cissy Ashlie,cissyashlie@gmail.com,110980,INR,recovered
CUST-000087,Carolynn,Bethina,Carolynn Bethina,carolynnbethina@gmail.com,870610,INR,active
CUST-000088,Glennis,Amoakuh,Glennis Amoakuh,glennisamoakuh@gmail.com,219340,INR,recovered
CUST-000089,Adeline,Barnet,Adeline Barnet,adelinebarnet@gmail.com,200360,INR,active
CUST-000090,Averyl,Balduin,Averyl Balduin,averylbalduin@gmail.com,416290,INR,active
CUST-000091,Dianna,Berhley,Dianna Berhley,diannaberhley@gmail.com,619380,INR,in_progress
CUST-000092,Darrelle,Anabel,Darrelle Anabel,darrelleanabel@gmail.com,345290,INR,overdue
CUST-000093,Chery,Abramson,Chery Abramson,cheryabramson@gmail.com,619960,INR,recovered
CUST-000094,Cynthea,Alverson,Cynthea Alverson,cyntheaalverson@gmail.com,418520,INR,overdue
CUST-000095,Candice,Anatollo,Candice Anatollo,candiceanatollo@gmail.com,525440,INR,recovered
CUST-000096,Augustine,Amalbergas,Augustine Amalbergas,augustineamalbergas@gmail.com,57320,INR,active
CUST-000097,Genevra,Bishop,Genevra Bishop,genevrabishop@gmail.com,641430,INR,recovered
CUST-000098,Cissiee,Bernhard,Cissiee Bernhard,cissieebernhard@gmail.com,969040,INR,recovered
CUST-000099,Helsa,Alyson,Helsa Alyson,helsaalyson@gmail.com,340800,INR,in_progress
CUST-000100,Geraldine,Bellaude,Geraldine Bellaude,geraldinebellaude@gmail.com,827090,INR,pending
CUST-000101,Angel,Alys,Angel Alys,angelalys@gmail.com,4300,INR,overdue
CUST-000102,Bennie,Bishop,Bennie Bishop,benniebishop@gmail.com,48820,INR,pending
CUST-000103,Evania,Ambrogio,Evania Ambrogio,evaniaambrogio@gmail.com,459240,INR,active
CUST-000104,Abbye,Pillai,Abbye Pillai,abbyepillai@gmail.com,502250,INR,overdue
CUST-000105,Esther,Amalia,Esther Amalia,estheramalia@gmail.com,541250,INR,recovered
CUST-000106,Fancy,Almeida,Fancy Almeida,fancyalmeida@gmail.com,805090,INR,active
CUST-000107,Honey,Blondelle,Honey Blondelle,honeyblondelle@gmail.com,228510,INR,active
CUST-000108,Hyacinth,Becker,Hyacinth Becker,hyacinthbecker@gmail.com,822850,INR,recovered
CUST-000109,Glori,Alyssa,Glori Alyssa,glorialyssa@gmail.com,904010,INR,recovered
CUST-000110,Arlie,Biernat,Arlie Biernat,arliebiernat@gmail.com,149110,INR,in_progress
CUST-000111,Brynn,Asteria,Brynn Asteria,brynnasteria@gmail.com,917510,INR,recovered
CUST-000112,Crysta,Ambrosia,Crysta Ambrosia,crystaambrosia@gmail.com,754540,INR,active
CUST-000113,Constanta,Binky,Constanta Binky,constantabinky@gmail.com,681780,INR,in_progress
CUST-000114,Dianemarie,Aloysius,Dianemarie Aloysius,dianemariealoysius@gmail.com,247670,INR,overdue
CUST-000115,Frank,Avra,Frank Avra,frankavra@gmail.com,736390,INR,overdue
CUST-000116,Dorette,Askwith,Dorette Askwith,doretteaskwith@gmail.com,57550,INR,recovered
CUST-000117,Birgitta,Alberik,Birgitta Alberik,birgittaalberik@gmail.com,662320,INR,overdue
CUST-000118,Cher,Baecher,Cher Baecher,cherbaecher@gmail.com,896910,INR,overdue
CUST-000119,Glad,Agueda,Glad Agueda,gladagueda@gmail.com,821430,INR,overdue
CUST-000120,Ailey,Albin,Ailey Albin,aileyalbin@gmail.com,501780,INR,recovered
CUST-000121,Adan,Negi,Adan Negi,adannegi@gmail.com,351320,INR,in_progress
CUST-000122,Alika,Blen,Alika Blen,alikablen@gmail.com,670430,INR,recovered
CUST-000123,Janaye,Abert,Janaye Abert,janayeabert@gmail.com,904770,INR,overdue
CUST-000124,Darsh,Binah,Darsh Binah,darshbinah@gmail.com,377830,INR,overdue
CUST-000125,Gaurav,Alidis,Gaurav Alidis,gauravalidis@gmail.com,189920,INR,active
CUST-000126,Crista,Amitie,Crista Amitie,cristaamitie@gmail.com,835660,INR,active
CUST-000127,Dorie,Arliene,Dorie Arliene,doriearliene@gmail.com,120970,INR,recovered
CUST-000128,Hannis,Aubrey,Hannis Aubrey,hannisaubrey@gmail.com,115400,INR,overdue
CUST-000129,Faye,Antons,Faye Antons,fayeantons@gmail.com,390,INR,in_progress
CUST-000130,Irina,Sharma,Irina Sharma,irinasharma@gmail.com,913160,INR,recovered
CUST-000131,Elsa,Billie,Elsa Billie,elsabillie@gmail.com,545070,INR,pending
CUST-000132,Frannie,Angrist,Frannie Angrist,frannieangrist@gmail.com,49840,INR,overdue
CUST-000133,Bev,Bary,Bev Bary,bevbary@gmail.com,991410,INR,pending
CUST-000134,Carmen,Bleier,Carmen Bleier,carmenbleier@gmail.com,749370,INR,pending
CUST-000135,Ferdinanda,Bannasch,Ferdinanda Bannasch,ferdinandabannasch@gmail.com,557630,INR,in_progress
CUST-000136,Dyanne,Ari,Dyanne Ari,dyanneari@gmail.com,258710,INR,pending
CUST-000137,Darcee,An,Darcee An,darceean@gmail.com,672560,INR,active
CUST-000138,Allegra,Amir,Allegra Amir,allegraamir@gmail.com,567490,INR,recovered
CUST-000139,Bonnee,Alveta,Bonnee Alveta,bonneealveta@gmail.com,775620,INR,in_progress
CUST-000140,Donna,Adnah,Donna Adnah,donnaadnah@gmail.com,98120,INR,recovered
CUST-000141,Anthe,Kulkarni,Anthe Kulkarni,anthekulkarni@gmail.com,890240,INR,active
CUST-000142,Chandal,Aker,Chandal Aker,chandalaker@gmail.com,646340,INR,active
CUST-000143,Cheryl,Arquit,Cheryl Arquit,cherylarquit@gmail.com,963680,INR,in_progress
CUST-000144,Dollie,Berny,Dollie Berny,dollieberny@gmail.com,370850,INR,pending
CUST-000145,Ingaborg,Amory,Ingaborg Amory,ingaborgamory@gmail.com,895490,INR,in_progress
CUST-000146,Cami,Bailar,Cami Bailar,camibailar@gmail.com,618940,INR,active
CUST-000147,Darrelle,Benoit,Darrelle Benoit,darrellebenoit@gmail.com,623700,INR,overdue
CUST-000148,Greer,Barnum,Greer Barnum,greerbarnum@gmail.com,132140,INR,recovered
CUST-000149,Annadiana,Bernadina,Annadiana Bernadina,annadianabernadina@gmail.com,392780,INR,recovered
CUST-000150,Colene,Ad,Colene Ad,colenead@gmail.com,299080,INR,overdue
CUST-000151,Celene,Berners,Celene Berners,celeneberners@gmail.com,406600,INR,in_progress
CUST-000152,Idaline,Ahmed,Idaline Ahmed,idalineahmed@gmail.com,465230,INR,recovered
CUST-000153,Corette,Barboza,Corette Barboza,corettebarboza@gmail.com,262670,INR,in_progress
CUST-000154,Ellene,Adlei,Ellene Adlei,elleneadlei@gmail.com,83530,INR,overdue
CUST-000155,Bab,Aggappe,Bab Aggappe,babaggappe@gmail.com,726290,INR,in_progress
CUST-000156,Barbe,Astera,Barbe Astera,barbeastera@gmail.com,404720,INR,recovered
CUST-000157,Alfy,Adriell,Alfy Adriell,alfyadriell@gmail.com,372400,INR,overdue
CUST-000158,Gizela,Anselm,Gizela Anselm,gizelaanselm@gmail.com,585290,INR,recovered
CUST-000159,Adrianne,Barling,Adrianne Barling,adriannebarling@gmail.com,828750,INR,in_progress
CUST-000160,Crista,Benzel,Crista Benzel,cristabenzel@gmail.com,83950,INR,active
CUST-000161,Jacinta,Bernardina,Jacinta Bernardina,jacintabernardina@gmail.com,913050,INR,recovered
CUST-000162,Calli,Andrews,Calli Andrews,calliandrews@gmail.com,543710,INR,overdue
CUST-000163,Fayina,Agan,Fayina Agan,fayinaagan@gmail.com,531680,INR,overdue
CUST-000164,Giuditta,Alane,Giuditta Alane,giudittaalane@gmail.com,314200,INR,pending
CUST-000165,Christina,Abbotson,Christina Abbotson,christinaabbotson@gmail.com,115820,INR,active
CUST-000166,Brittani,Adnah,Brittani Adnah,brittaniadnah@gmail.com,523960,INR,active
CUST-000167,Emmalee,Baun,Emmalee Baun,emmaleebaun@gmail.com,671550,INR,recovered
CUST-000168,Dorian,Becka,Dorian Becka,dorianbecka@gmail.com,434140,INR,recovered
CUST-000169,Bianca,Atwater,Bianca Atwater,biancaatwater@gmail.com,530360,INR,in_progress
CUST-000170,Elaina,Andromada,Elaina Andromada,elainaandromada@gmail.com,729170,INR,pending
CUST-000171,Evonne,Anna,Evonne Anna,evonneanna@gmail.com,917620,INR,overdue
CUST-000172,Germaine,Pillai,Germaine Pillai,germainepillai@gmail.com,135340,INR,pending
CUST-000173,Cati,Blackman,Cati Blackman,catiblackman@gmail.com,307700,INR,in_progress
CUST-000174,Cherice,Aleda,Cherice Aleda,chericealeda@gmail.com,637830,INR,in_progress
CUST-000175,Calley,Bevan,Calley Bevan,calleybevan@gmail.com,42500,INR,active
CUST-000176,Bridgette,Antons,Bridgette Antons,bridgetteantons@gmail.com,812340,INR,recovered
CUST-000177,Ede,Adall,Ede Adall,edeadall@gmail.com,249540,INR,pending
CUST-000178,Cynthie,Attah,Cynthie Attah,cynthieattah@gmail.com,129250,INR,recovered
CUST-000179,Fleur,Bamby,Fleur Bamby,fleurbamby@gmail.com,858850,INR,pending
CUST-000180,Dennie,Athalee,Dennie Athalee,dennieathalee@gmail.com,748840,INR,active
CUST-000181,Clementina,Bazar,Clementina Bazar,clementinabazar@gmail.com,780220,INR,pending
CUST-000182,Aprilette,Bast,Aprilette Bast,aprilettebast@gmail.com,358830,INR,overdue
CUST-000183,Bridget,Adal,Bridget Adal,bridgetadal@gmail.com,550350,INR,active
CUST-000184,Cahra,Arissa,Cahra Arissa,cahraarissa@gmail.com,572960,INR,active
CUST-000185,Colleen,Ballinger,Colleen Ballinger,colleenballinger@gmail.com,834980,INR,recovered
CUST-000186,Alix,Bing,Alix Bing,alixbing@gmail.com,896420,INR,overdue
CUST-000187,Aggie,Aborn,Aggie Aborn,aggieaborn@gmail.com,154990,INR,in_progress
CUST-000188,Dalenna,Bathsheb,Dalenna Bathsheb,dalennabathsheb@gmail.com,285820,INR,in_progress
CUST-000189,Alisun,Andros,Alisun Andros,alisunandros@gmail.com,337840,INR,active
CUST-000190,Hailee,Alyose,Hailee Alyose,haileealyose@gmail.com,625900,INR,pending
CUST-000191,Aidan,Bindman,Aidan Bindman,aidanbindman@gmail.com,199200,INR,recovered
CUST-000192,Ester,Patel,Ester Patel,esterpatel@gmail.com,954580,INR,in_progress
CUST-000193,Annice,Berriman,Annice Berriman,anniceberriman@gmail.com,479040,INR,pending
CUST-000194,Gisele,Berri,Gisele Berri,giseleberri@gmail.com,2590,INR,recovered
CUST-000195,Elianore,Asel,Elianore Asel,elianoreasel@gmail.com,943160,INR,overdue
CUST-000196,Bobbye,Anson,Bobbye Anson,bobbyeanson@gmail.com,440410,INR,pending
CUST-000197,Brooks,Bevash,Brooks Bevash,brooksbevash@gmail.com,352870,INR,active
CUST-000198,Iona,Almund,Iona Almund,ionaalmund@gmail.com,452850,INR,active
CUST-000199,Ariel,Bernete,Ariel Bernete,arielbernete@gmail.com,827230,INR,recovered
CUST-000200,Adelind,Basilio,Adelind Basilio,adelindbasilio@gmail.com,7690,INR,in_progress
CUST-000201,Helyn,Amary,Helyn Amary,helynamary@gmail.com,766000,INR,pending
CUST-000202,Basia,Auburn,Basia Auburn,basiaauburn@gmail.com,266750,INR,recovered
CUST-000203,Freida,Amathiste,Freida Amathiste,freidaamathiste@gmail.com,710480,INR,recovered
CUST-000204,Caprice,Arlinda,Caprice Arlinda,capricearlinda@gmail.com,584810,INR,pending
CUST-000205,Dorice,Agbogla,Dorice Agbogla,doriceagbogla@gmail.com,838890,INR,active
CUST-000206,Anabel,Bertle,Anabel Bertle,anabelbertle@gmail.com,911980,INR,in_progress
CUST-000207,Dorine,Arezzini,Dorine Arezzini,dorinearezzini@gmail.com,225370,INR,overdue
CUST-000208,Chloe,Arley,Chloe Arley,chloearley@gmail.com,674050,INR,active
CUST-000209,Pihu,Astto,Pihu Astto,pihuastto@gmail.com,523770,INR,pending
CUST-000210,Ginnie,Aletha,Ginnie Aletha,ginniealetha@gmail.com,48240,INR,overdue
CUST-000211,Anastassia,Bass,Anastassia Bass,anastassiabass@gmail.com,858030,INR,overdue
CUST-000212,Clarie,Agatha,Clarie Agatha,clarieagatha@gmail.com,133970,INR,pending
CUST-000213,Diandra,Battiste,Diandra Battiste,diandrabattiste@gmail.com,1450,INR,active
CUST-000214,Dasya,Aaberg,Dasya Aaberg,dasyaaaberg@gmail.com,182500,INR,in_progress
CUST-000215,Darya,Alikee,Darya Alikee,daryaalikee@gmail.com,791150,INR,pending
CUST-000216,Atalanta,Bethena,Atalanta Bethena,atalantabethena@gmail.com,493390,INR,overdue
CUST-000217,Arabella,Ardeha,Arabella Ardeha,arabellaardeha@gmail.com,487080,INR,overdue
CUST-000218,Clio,Billy,Clio Billy,cliobilly@gmail.com,902460,INR,in_progress
CUST-000219,Elle,Bodrogi,Elle Bodrogi,ellebodrogi@gmail.com,2010,INR,overdue
CUST-000220,Ann,Alexandrina,Ann Alexandrina,annalexandrina@gmail.com,445270,INR,overdue
CUST-000221,Chloris,Bascomb,Chloris Bascomb,chlorisbascomb@gmail.com,931510,INR,active
CUST-000222,Bernadina,Airlia,Bernadina Airlia,bernadinaairlia@gmail.com,352600,INR,pending
CUST-000223,Elenore,Anastas,Elenore Anastas,elenoreanastas@gmail.com,783930,INR,active
CUST-000224,Glori,Bedell,Glori Bedell,gloribedell@gmail.com,673840,INR,recovered
CUST-000225,Flora,Beaufert,Flora Beaufert,florabeaufert@gmail.com,797890,INR,in_progress
CUST-000226,Alejandrina,Bluhm,Alejandrina Bluhm,alejandrinabluhm@gmail.com,670590,INR,active
CUST-000227,Elana,Anjali,Elana Anjali,elanaanjali@gmail.com,956440,INR,pending
CUST-000228,Brina,Aggappe,Brina Aggappe,brinaaggappe@gmail.com,263540,INR,active
CUST-000229,Diandra,Amalie,Diandra Amalie,diandraamalie@gmail.com,161860,INR,active
CUST-000230,Doloritas,Biernat,Doloritas Biernat,doloritasbiernat@gmail.com,132170,INR,active
CUST-000231,Beatriz,Aldercy,Beatriz Aldercy,beatrizaldercy@gmail.com,447930,INR,overdue
CUST-000232,Hester,Backler,Hester Backler,hesterbackler@gmail.com,188210,INR,recovered
CUST-000233,Aila,Alansen,Aila Alansen,ailaalansen@gmail.com,174330,INR,recovered
CUST-000234,Genny,Aura,Genny Aura,gennyaura@gmail.com,635030,INR,overdue
CUST-000235,Jane,Aubrie,Jane Aubrie,janeaubrie@gmail.com,841860,INR,pending
CUST-000236,Feliza,Balliett,Feliza Balliett,felizaballiett@gmail.com,631480,INR,recovered
CUST-000237,Fianna,Garg,Fianna Garg,fiannagarg@gmail.com,671040,INR,in_progress
CUST-000238,Jayne,Azpurua,Jayne Azpurua,jayneazpurua@gmail.com,830790,INR,in_progress
CUST-000239,Adara,Ancilin,Adara Ancilin,adaraancilin@gmail.com,803250,INR,pending
CUST-000240,Alayne,Bartel,Alayne Bartel,alaynebartel@gmail.com,902720,INR,in_progress
CUST-000241,Jannel,Atwekk,Jannel Atwekk,jannelatwekk@gmail.com,614920,INR,active
CUST-000242,Bendite,Bee,Bendite Bee,benditebee@gmail.com,714560,INR,pending
CUST-000243,Demetris,Anny,Demetris Anny,demetrisanny@gmail.com,17740,INR,in_progress
CUST-000244,Bridget,Armallas,Bridget Armallas,bridgetarmallas@gmail.com,857470,INR,in_progress
CUST-000245,Carmen,Augustin,Carmen Augustin,carmenaugustin@gmail.com,701280,INR,in_progress
CUST-000246,Cathy,Anne,Cathy Anne,cathyanne@gmail.com,462560,INR,pending
CUST-000247,Estele,Ailene,Estele Ailene,esteleailene@gmail.com,335500,INR,overdue
CUST-000248,Cindie,Ameline,Cindie Ameline,cindieameline@gmail.com,149170,INR,pending
CUST-000249,Doroteya,Antonino,Doroteya Antonino,doroteyaantonino@gmail.com,13700,INR,pending
CUST-000250,Addi,Baggs,Addi Baggs,addibaggs@gmail.com,619540,INR,overdue
CUST-000251,Clair,Bevon,Clair Bevon,clairbevon@gmail.com,640140,INR,overdue
CUST-000252,Caritta,Bergwall,Caritta Bergwall,carittabergwall@gmail.com,870890,INR,active
CUST-000253,Jacynth,Binnings,Jacynth Binnings,jacynthbinnings@gmail.com,769280,INR,pending
CUST-000254,Giana,Aleron,Giana Aleron,gianaaleron@gmail.com,533410,INR,pending
CUST-000255,Deena,Ader,Deena Ader,deenaader@gmail.com,313230,INR,active
CUST-000256,Aarav,Ahern,Aarav Ahern,aaravahern@gmail.com,745320,INR,in_progress
CUST-000257,Calla,Belter,Calla Belter,callabelter@gmail.com,162890,INR,in_progress
CUST-000258,Jemima,Andersen,Jemima Andersen,jemimaandersen@gmail.com,301460,INR,recovered
CUST-000259,Benetta,Anis,Benetta Anis,benettaanis@gmail.com,668520,INR,pending
CUST-000260,Annissa,Alex,Annissa Alex,annissaalex@gmail.com,674820,INR,in_progress
CUST-000261,Bernelle,Belldas,Bernelle Belldas,bernellebelldas@gmail.com,559620,INR,recovered
CUST-000262,Chiquia,Adelaja,Chiquia Adelaja,chiquiaadelaja@gmail.com,268480,INR,recovered
CUST-000263,Augusta,Benjamen,Augusta Benjamen,augustabenjamen@gmail.com,294410,INR,active
CUST-000264,Dori,Upadhyay,Dori Upadhyay,doriupadhyay@gmail.com,413740,INR,recovered
CUST-000265,Engracia,Alan,Engracia Alan,engraciaalan@gmail.com,805080,INR,recovered
CUST-000266,Crystal,Benedetto,Crystal Benedetto,crystalbenedetto@gmail.com,720060,INR,active
CUST-000267,Davina,Bergquist,Davina Bergquist,davinabergquist@gmail.com,646800,INR,in_progress
CUST-000268,Sunita,Ahmar,Sunita Ahmar,sunitaahmar@gmail.com,488060,INR,recovered
CUST-000269,Anjela,Aloke,Anjela Aloke,anjelaaloke@gmail.com,468350,INR,active
CUST-000270,Sunita,Adoree,Sunita Adoree,sunitaadoree@gmail.com,234870,INR,pending
CUST-000271,Cindelyn,Augusto,Cindelyn Augusto,cindelynaugusto@gmail.com,465650,INR,pending
CUST-000272,Cecil,Bluma,Cecil Bluma,cecilbluma@gmail.com,149000,INR,recovered
CUST-000273,Charlotta,Abert,Charlotta Abert,charlottaabert@gmail.com,501870,INR,recovered
CUST-000274,Dayna,Sandhu,Dayna Sandhu,daynasandhu@gmail.com,60390,INR,pending
CUST-000275,Ami,Batruk,Ami Batruk,amibatruk@gmail.com,55070,INR,in_progress
CUST-000276,Dorita,Bauske,Dorita Bauske,doritabauske@gmail.com,315430,INR,pending
CUST-000277,Cammy,Aletha,Cammy Aletha,cammyaletha@gmail.com,394860,INR,pending
CUST-000278,Althea,Mann,Althea Mann,altheamann@gmail.com,95170,INR,overdue
CUST-000279,Danyette,Augie,Danyette Augie,danyetteaugie@gmail.com,238110,INR,in_progress
CUST-000280,Alys,Boesch,Alys Boesch,alysboesch@gmail.com,371040,INR,pending
CUST-000281,Cherilynn,Barrus,Cherilynn Barrus,cherilynnbarrus@gmail.com,670810,INR,overdue
CUST-000282,Harriet,Antons,Harriet Antons,harrietantons@gmail.com,653840,INR,in_progress
CUST-000283,Anthe,Bernette,Anthe Bernette,anthebernette@gmail.com,893450,INR,recovered
CUST-000284,Audi,Avilla,Audi Avilla,audiavilla@gmail.com,465410,INR,in_progress
CUST-000285,Gussie,Beniamino,Gussie Beniamino,gussiebeniamino@gmail.com,134840,INR,active
CUST-000286,Ella,Blessington,Ella Blessington,ellablessington@gmail.com,146820,INR,overdue
CUST-000287,Babita,Acey,Babita Acey,babitaacey@gmail.com,63420,INR,in_progress
